;budget;company;genre;gross;name;score;votes;year;Animation_1;Animation_2;Animation_3;Animation_4
5203;13000000;EuropaCorp;Biography;2035566;Una pareja dispareja;6,6;82466;2009;;;;
5204;15000000;Fox 2000 Pictures;Comedy;33860010;All About Steve;4,8;34902;2009;;;;
5205;1700000;Magnolia Pictures;Drama;695417;The Girlfriend Experience;5,5;14416;2009;;;;
5206;18000000;Metro-Goldwyn-Mayer (MGM);Comedy;22455510;Fame;5;14706;2009;;;;
5207;18000000;Fox Atomic;Comedy;14793904;I Love You, Beth Cooper;5,3;29845;2009;;;;
5208;18000000;Dimension Films;Comedy;15281286;Youth in Revolt;6,5;67707;2009;;;;
5209;0;Film i Väst;Crime;5188972;The Girl Who Kicked the Hornet's Nest;7,3;57185;2009;;;;
5210;60000000;Universal Pictures;Comedy;40572825;Duplicity;6,2;43170;2009;;;;
5211;17000000;Focus Features;Comedy;9451946;Away We Go;7,1;47589;2009;;;;
5212;3900000;The Weinstein Company;Adventure;688529;Fanboys;6,6;51872;2009;;;;
5213;7300000;Marv Films;Action;1818681;Harry Brown;7,2;77350;2009;;;;
5214;8000000;Lionsgate;Comedy;16734283;New in Town;5,6;18623;2009;;;;
5215;0;First Sun;Drama;5005465;I Am Love;7;15445;2009;;;;
5216;0;Scion Films;Adventure;2534351;Sin Nombre;7,6;27573;2009;;;;
5217;20000000;Millennium Films;Crime;1697956;Bad Lieutenant: Port of Call New Orleans;6,7;67565;2009;;;;
5218;5000000;CJ Entertainment;Drama;296441;Thirst;7,2;33954;2009;;;;
5219;16000000;House Row Productions;Horror;11956207;Sorority Row;5,1;25255;2009;;;;
5220;60000000;DreamWorks;Biography;31670931;The Soloist;6,7;45900;2009;;;;
5221;4500000;Lleju Productions;Drama;108229;After.Life;5,9;32597;2009;;;;
5222;0;Antena 3 Films;Drama;17595;Cracks;6,7;16664;2009;;;;
5223;800000;Euforia Film;Comedy;41709;Dead Snow;6,3;57777;2009;;;;
5224;0;Ecosse Films;Biography;1445366;Nowhere Boy;7,2;30580;2009;;;;
5225;0;Bombshell Pictures;Action;17365;Bitch Slap;4,5;12478;2009;;;;
5226;0;Artfire Films;Comedy;15388;Paper Man;6,6;16398;2009;;;;
5227;0;Cinema Libre Studio;Drama;1808;Now & Later;5,2;1040;2009;;;;
